channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
ge,10,100,8,12,8,10000,9123598660490032540,0.963300,0.017988,17.638,21.520,7.345,17.773,,,302784,102.280
ge,20,100,8,12,8,10000,3964130679783721640,0.843300,0.086788,17.549,21.541,8.726,18.525,,,302784,102.280
ge,20,100,8,12,8,10000,16738456977111430413,0.838800,0.093512,17.620,25.849,9.058,17.954,,,302784,102.280
ge,20,100,8,12,8,10000,492885360689198325,0.859500,0.078812,17.567,21.451,8.667,17.733,,,302784,102.280
ge,2,1000,8,12,8,10000,6689441928456642004,1.000000,0.000000,17.576,22.022,4.611,6.813,,,302784,102.280
ge,2,1000,8,12,8,10000,17476429869865270832,1.000000,0.000000,17.604,21.741,4.792,9.237,,,302784,102.280
ge,2,1000,8,12,8,10000,11643058822703392603,1.000000,0.000000,17.598,21.471,4.620,5.360,,,302784,102.280
ge,5,1000,8,12,8,10000,15964630129446768935,0.999600,0.000150,17.487,21.460,5.464,13.295,,,302784,102.280
ge,5,1000,8,12,8,10000,9447472290502799373,1.000000,0.000000,17.476,21.330,5.535,17.433,,,302784,102.280
ge,5,1000,8,12,8,10000,9553603530983313536,1.000000,0.000000,17.553,21.551,5.107,9.508,,,302784,102.280
ge,10,1000,8,12,8,10000,8309992516468313433,0.999700,0.000112,17.546,21.471,6.561,13.466,,,302784,102.280
ge,10,1000,8,12,8,10000,12015586512222903730,0.998300,0.000862,17.617,21.611,7.066,17.774,,,302784,102.280
ge,10,1000,8,12,8,10000,11607471990954128010,0.999200,0.000737,17.577,21.521,7.444,17.624,,,302784,102.280
ge,20,1000,8,12,8,10000,14121630210344950892,0.991900,0.004925,17.575,21.561,8.436,17.964,,,302784,102.280
ge,20,1000,8,12,8,10000,8390678554089956980,0.987100,0.007687,17.589,21.291,8.486,17.824,,,302784,102.280
ge,20,1000,8,12,8,10000,12030603151280437794,0.986800,0.008175,17.566,21.531,8.119,17.674,,,302784,102.280
periodic,5,1,8,12,8,10000,6207833858243225106,1.000000,0.000000,17.529,21.470,7.121,10.039,,,302784,102.280
periodic,5,1,8,12,8,10000,17563910628828972251,1.000000,0.000000,17.471,21.320,7.100,10.149,,,302784,102.280
periodic,5,1,8,12,8,10000,4846423084981794302,1.000000,0.000000,17.563,21.411,7.140,9.969,,,302784,102.280
periodic,10,1,8,12,8,10000,18184598803170208200,1.000000,0.000000,17.580,21.420,7.139,10.369,,,302784,102.280
periodic,10,1,8,12,8,10000,7376750812791847170,1.000000,0.000000,17.488,21.421,7.101,10.150,,,302784,102.280
periodic,10,1,8,12,8,10000,5552608623861167972,1.000000,0.000000,17.491,21.381,7.098,9.749,,,302784,102.280
periodic,20,1,8,12,8,10000,9862925615663886551,1.000000,0.000000,17.576,21.611,7.231,11.041,,,302784,102.280
periodic,20,1,8,12,8,10000,10939832885466090230,1.000000,0.000000,17.562,21.340,7.119,10.109,,,302784,102.280
periodic,20,1,8,12,8,10000,4518359080166242533,1.000000,0.000000,17.471,21.281,7.133,10.470,,,302784,102.280
uniform,0.01,,4,8,1,10000,16230492970859607859,1.000000,0.000000,8.766,11.321,2.282,2.835,,,173248,11.240
uniform,0.01,,4,8,1,10000,5950900637516809035,1.000000,0.000000,8.746,11.312,2.298,4.479,,,173248,11.240
uniform,0.01,,4,8,1,10000,11721083611195525884,1.000000,0.000000,8.815,11.422,2.323,4.479,,,173248,11.240
uniform,0.05,,4,8,1,10000,14932416930386665330,1.000000,0.000000,8.802,11.211,2.430,4.539,,,173248,11.240
uniform,0.05,,4,8,1,10000,5987860720739485046,1.000000,0.000000,8.801,11.392,2.453,4.529,,,173248,11.240
uniform,0.05,,4,8,1,10000,4273135710000567053,0.999900,0.000050,8.798,11.081,2.452,4.519,,,173248,11.240
