channel_model,param1,param2,k,n,depth,blocks,seed,block_recovery_rate,residual_packet_loss,encode_us_mean,encode_us_p99,decode_us_mean,decode_us_p99,interleaver_us_mean,interleaver_us_p99,peak_mem_bytes,latency_ms
ge,2,100,8,12,8,10000,4075005393880939215,1.000000,0.000000,17.414,25.488,4.876,9.748,0.437,0.717,302784,102.280
ge,2,100,8,12,8,10000,768986758923169742,1.000000,0.000000,17.135,21.881,4.788,9.248,0.422,0.715,302784,102.280
ge,5,100,8,12,8,10000,6030165463667840188,0.998700,0.000612,17.021,20.820,5.631,12.855,0.422,0.686,302784,102.280
ge,5,100,8,12,8,10000,17795276154531131830,0.998100,0.000937,17.111,20.880,5.796,13.205,0.429,0.700,302784,102.280
ge,5,100,8,12,8,10000,15711680820221654079,0.998300,0.000763,16.914,19.948,5.687,12.884,0.412,0.502,302784,102.280
ge,10,100,8,12,8,10000,15835904419905842004,0.973000,0.013888,16.923,19.958,7.200,17.062,0.411,0.508,302784,102.280
ge,10,100,8,12,8,10000,10877753495252780401,0.971200,0.014375,16.921,20.028,7.245,17.083,0.413,0.509,302784,102.280
ge,10,100,8,12,8,10000,9123598660490032540,0.963300,0.017988,16.968,20.098,7.074,17.183,0.412,0.524,302784,102.280
ge,20,100,8,12,8,10000,3964130679783721640,0.843300,0.086788,17.086,21.120,8.338,17.383,0.423,0.655,302784,102.280
ge,20,100,8,12,8,10000,16738456977111430413,0.838800,0.093512,16.978,20.590,8.629,17.173,0.415,0.566,302784,102.280
ge,20,100,8,12,8,10000,492885360689198325,0.859500,0.078812,16.969,20.669,8.424,17.192,0.418,0.636,302784,102.280
ge,2,1000,8,12,8,10000,6689441928456642004,1.000000,0.000000,17.054,21.050,4.556,7.905,0.413,0.625,302784,102.280
ge,2,1000,8,12,8,10000,17476429869865270832,1.000000,0.000000,17.123,21.150,4.666,8.696,0.414,0.631,302784,102.280
